id,title,artist,word,duration,wpm
1, “Dancing on My Own”,Robyn,292,4:38,63.021582733812956
2, “Alright”,Kendrick Lamar,754,3:39,206.57534246575344
3, “Rolling in the Deep”,Adele,565,3:48,148.6842105263158
4, “Formation”,Beyoncé,727,3:26,211.74757281553397
5,  “All Too Well”,Taylor Swift,495,10:13,48.450244698205545
6, “Runaway”,Kanye West,773,9:07,84.78976234003656
7," “Thank U, Next”",Ariana Grande,480,3:27,139.1304347826087
8, “Follow Your Arrow”,Kacey Musgraves,338,3:19,101.90954773869348
9, “I Like It”,Cardi B feat. Bad Bunny and J Balvin,839,4:13,198.97233201581028
10, “Hotline Bling”,Drake,451,4:27,101.34831460674157
11, “Royals”,Lorde,394,3:10,124.42105263157896
12, “Old Town Road”,Lil Nas X,216,2:37,82.54777070063695
13, “Your Best American Girl”,Mitski,187,3:32,52.924528301886795
14, “Shallow”,Lady Gaga and Bradley Cooper,234,3:35,65.30232558139535
15, “Mi Gente”,J Balvin and Willy William,306,3:05,99.24324324324324
16, “Stoned and Starving”,Parquet Courts,186,5:11,35.88424437299035
17, “Get Lucky”,Daft Punk,793,6:09,128.9430894308943
18, “Bad and Boujee”,Migos,1269,5:43,221.98250728862973
19, “Hold On”,Alabama Shakes,207,3:46,54.955752212389385
20, “Oblivion”,Grimes,234,4:11,55.93625498007968
21, “Springsteen”,Eric Church,346,4:23,78.93536121673003
22, “Drunk in Love”,Beyoncé feat. Jay-Z,951,5:23,176.656346749226
23, “Despacito”,Luis Fonsi feat. Daddy Yankee and Justin Bieber,734,3:50,191.47826086956522
24, “Truth Hurts”,Lizzo,532,2:53,184.50867052023122
25, “Adorn”,Miguel,370,3:13,115.02590673575129
26, “Mask Off”,Future,551,3:24,162.05882352941177
27,“Chandelier”,Sia,395,3:36,109.72222222222221
28,"“Archie, Marry Me”",Alvvays,166,3:16,50.816326530612244
29,“Sorry”,Justin Bieber,381,3:20,114.3
30,“We Found Love”,Rihanna feat. Calvin Harris,255,3:35,71.16279069767441
31,“Sign of the Times”,Harry Styles,384,5:40,67.76470588235294
32,“Bodak Yellow”,Cardi B,709,3:43,190.76233183856502
33,"“Hold On, We’re Going Home”",Drake,388,3:47,102.55506607929516
34,“Bad Guy”,Billie Eilish,285,3:14,88.14432989690721
35,“Night Shift”,Lucy Dacus,357,6:31,54.78260869565217
36,“Sicko Mode”,Travis Scott feat. Drake,1422,5:12,273.46153846153845
37,“My Church”,Maren Morris,280,3:17,85.27918781725889
38,“God in Chicago”,Craig Finn,493,4:45,103.78947368421052
